"Modified","CVE-2011-3178","CWE-78" "CWE-94",,,,,,,,,"security@opentext.com" "nvd@nist.gov",8.1 8.8,"HIGH" "HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:o:opensuse:open_build_service:*:*:*:*:*:*:*:*"
"Modified","CVE-2016-9575","CWE-863" "CWE-285",,,,,,,,,"nvd@nist.gov",6.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:freeipa:freeipa:4.2.0:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.2.0:alpha1:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.2.1:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.2.2:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.2.3:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.2.4:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.3.1:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.3.2:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.4.0:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.4.1:*:*:*:*:*:*:*" "cpe:2.3:a:freeipa:freeipa:4.4.2:*:*:*:*:*:*:*"
"Modified","CVE-2016-9585","CWE-502" "CWE-502",,,,,,,,,"nvd@nist.gov",5.3,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:H","nvd@nist.gov",2.6,LOW,"AV:N/AC:H/Au:N/C:N/I:N/A:P","cpe:2.3:a:redhat:jboss_enterprise_application_platform:5.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2016-9589","CWE-400" "CWE-400",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:redhat:jboss_wildfly_application_server:*:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:jboss_wildfly_application_server:11.0.0:alpha1:*:*:*:*:*:*"
"Modified","CVE-2016-9591","CWE-416" "CWE-416",,,,,,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:jasper_project:jasper:*:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_desktop:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_eus:7.3:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_eus:7.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_workstation:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*"
"Modified","CVE-2016-9600","CWE-476" "CWE-476",,,,,,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:jasper_project:jasper:*:*:*:*:*:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:14.04:*:*:*:lts:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:lts:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_desktop:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_aus:7.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_aus:7.6:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_eus:7.3:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_eus:7.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_eus:7.5:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_eus:7.6:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_tus:7.3:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_tus:7.6:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_workstation:7.0:*:*:*:*:*:*:*"
"Modified","CVE-2016-9606","CWE-20" "CWE-20",,,,,,,,,"nvd@nist.gov",8.1,"HIGH","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:redhat:resteasy:*:*:*:*:*:*:*:*"
"Modified","CVE-2016-9711","CWE-200",,,,,,,,,"psirt@us.ibm.com" "nvd@nist.gov",5.3 5.3,"MEDIUM" "MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:cognos_analytics:11.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2016-9880","CWE-287",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:pivotal_software:gemfire_for_pivotal_cloud_foundry:*:*:*:*:*:*:*:*" "cpe:2.3:a:pivotal_software:gemfire_for_pivotal_cloud_foundry:1.7.0:*:*:*:*:*:*:*"
"Modified","CVE-2016-9952","CWE-295" "CWE-295",,,,,"134c704f-9b21-4f2e-91b3-4a467353bcc0",8.1,"HIGH","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",8.1,"HIGH","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*" "cpe:2.3:o:microsoft:windows_embedded_compact:-:*:*:*:*:*:*:*"
"Modified","CVE-2016-9953","CWE-125",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*" "cpe:2.3:o:microsoft:windows_embedded_compact:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-0914","CWE-89" "CWE-89",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2017-0915","CWE-77" "CWE-20",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-0916","CWE-77" "CWE-20",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-0917","CWE-79" "CWE-20" "CWE-79",,,,,,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-0918","CWE-23" "CWE-22",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-0920","CWE-639" "CWE-863",,,,,,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2017-0922","CWE-639" "CWE-863",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2017-0923","CWE-79" "CWE-79",,,,,,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:gitlab:gitlab:9.5.10:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:9.5.10:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:10.1.5:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:10.1.5:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:10.2.5:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:10.2.5:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:10.3.3:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:10.3.3:*:*:*:enterprise:*:*:*"
"Modified","CVE-2017-0924","CWE-79" "CWE-79",,,,,,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2017-0925","CWE-522" "CWE-319",,,,,,,,,"nvd@nist.gov",7.2,"HIGH","CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-0926","CWE-285" "CWE-863",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-0927","CWE-285" "CWE-863",,,,,,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:community:*:*:*" "cpe:2.3:a:gitlab:gitlab:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2017-0932","CWE-269" "CWE-269",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:o:ubnt:edgeos:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-0933","CWE-352" "CWE-352",,,,,,,,,"nvd@nist.gov",8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",8.5,HIGH,"AV:N/AC:M/Au:S/C:C/I:C/A:C","cpe:2.3:o:ubnt:edgeos:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-0934","CWE-269" "CWE-269",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:o:ubnt:edgeos:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-0935","CWE-269" "CWE-269",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:o:ui:edgeos:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-0936","CWE-639" "CWE-639",,,,,,,,,"nvd@nist.gov",5.7,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:H/A:N","nvd@nist.gov",4.9,MEDIUM,"AV:N/AC:M/Au:S/C:N/I:P/A:P","cpe:2.3:a:nextcloud:nextcloud_server:*:*:*:*:*:*:*:*" "cpe:2.3:a:nextcloud:nextcloud_server:12.0.5:*:*:*:*:*:*:*"
"Modified","CVE-2017-1002101","CWE-59",,,,,,,,,"jordan@liggitt.net" "nvd@nist.gov",8.8 9.6,"HIGH" "CRITICAL","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N","nvd@nist.gov",5.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:N","cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-1002102","NVD-CWE-noinfo",,,,,,,,,"jordan@liggitt.net" "nvd@nist.gov",7.1 5.6,"HIGH" "MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:H" "CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:C/C:N/I:H/A:N","nvd@nist.gov",6.3,MEDIUM,"AV:L/AC:M/Au:N/C:N/I:C/A:C","cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-10852","CWE-119",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",8.3,HIGH,"AV:A/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:o:corega:cg-wgr_1200_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:corega:cg-wgr_1200:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-10853","CWE-119",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",8.3,HIGH,"AV:A/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:o:corega:cg-wgr_1200_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:corega:cg-wgr_1200:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-10854","CWE-306",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",5.8,MEDIUM,"AV:A/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:o:corega:cg-wgr_1200_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:corega:cg-wgr_1200:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-11010","NVD-CWE-noinfo",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:o:google:android:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-11074","NVD-CWE-noinfo",,,,,,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:o:google:android:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-11082","CWE-119" "CWE-362",,,,,,,,,"nvd@nist.gov",7,"HIGH","CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",4.4,MEDIUM,"AV:L/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:o:google:android:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-11087","CWE-200",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:o:google:android:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-11509","CWE-89",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:a:firebirdsql:firebird:2.5.7:*:*:*:*:*:*:*" "cpe:2.3:a:firebirdsql:firebird:3.0.2:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-11510","CWE-200" "CWE-522",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:o:wanscam:hw0021_firmware:11.6.5.1.1-20161213:*:*:*:*:*:*:*" "cpe:2.3:h:wanscam:hw0021:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-11649","CWE-352",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:o:draytek:vigorap_910c_firmware:1.2.0:rc3:*:*:*:*:*:*" "cpe:2.3:h:draytek:vigorap_910c:-:*:*:*:*:*:*:*"
