"Modified","CVE-2003-5001","CWE-269" "NVD-CWE-noinfo",,,,,"psirt@us.ibm.com" "nvd@nist.gov",5.3 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ibm:iss_blackice_pc_protection:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-33208","CWE-611",,,,,"nvd@nist.gov",7.2,"HIGH","CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:softwareag:mashzone_nextgen:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-33293","CWE-125",,,,,"nvd@nist.gov",9.1,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H",,,,,"nvd@nist.gov",6.4,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:P","cpe:2.3:a:libpano13_project:libpano13:2.9.20:-:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-33523","NVD-CWE-noinfo",,,,,"nvd@nist.gov",7.2,"HIGH","CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:softwareag:mashzone_nextgen:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-33581","CWE-918",,,,,"nvd@nist.gov",7.2,"HIGH","CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:softwareag:mashzone_nextgen:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-33658","CWE-306",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:huawei:atune:*:*:*:*:*:*:*:*" "cpe:2.3:o:huawei:openeuler:20.03:sp1:*:*:lts:*:*:*" "cpe:2.3:o:huawei:openeuler:20.03:sp2:*:*:lts:*:*:*" "cpe:2.3:o:huawei:openeuler:20.03:sp3:*:*:lts:*:*:*"
"Modified","CVE-2021-33851","CWE-79" "CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:apasionados:customize_login_image:3.4:*:*:*:*:wordpress:*:*"
"Modified","CVE-2021-33852","CWE-79" "CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:metaphorcreations:post_duplicator:2.23:*:*:*:*:wordpress:*:*"
"Modified","CVE-2021-33853","CWE-79" "CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:x2engine:x2crm:8.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-33961","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:enhanced-github_project:enhanced-github:5.0.11:*:*:*:*:*:*:*"
"Modified","CVE-2021-34122","CWE-476",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:rockcarry:ffjpeg:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-3422","CWE-125" "CWE-20",,,,,"prodsec@splunk.com" "nvd@nist.gov",7.5 7.5,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:splunk:splunk:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:splunk:splunk:*:*:*:*:enterprise:*:*:*" "cpe:2.3:a:splunk:splunk:*:*:*:*:enterprise:*:*:*"
"Modified","CVE-2021-3428","CWE-190" "CWE-190",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.9,MEDIUM,"AV:L/AC:L/Au:N/C:N/I:N/A:C","cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-34338","CWE-125" "CWE-787",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:libming:ming:0.4.8:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*"
"Modified","CVE-2021-34339","CWE-125" "CWE-787",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:libming:ming:0.4.8:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*"
"Modified","CVE-2021-34340","CWE-125" "CWE-787",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:libming:ming:0.4.8:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*"
"Modified","CVE-2021-34341","CWE-125" "CWE-125",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:libming:ming:0.4.8:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*"
"Modified","CVE-2021-34342","CWE-125" "CWE-125",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:libming:ming:0.4.8:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*"
"Modified","CVE-2021-3456","CWE-863" "CWE-863",,,,,"nvd@nist.gov",7.1,"HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H",,,,,"nvd@nist.gov",3.6,LOW,"AV:L/AC:L/Au:N/C:N/I:P/A:P","cpe:2.3:a:theforeman:smart_proxy_salt:*:*:*:*:*:foreman:*:*"
"Modified","CVE-2021-35036","CWE-312" "CWE-312",,,,,"security@zyxel.com.tw" "nvd@nist.gov",6.5 6.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:P/I:N/A:N","cpe:2.3:o:zyxel:ax7501-b0_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:ax7501-b0:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:dx3301-t0_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:dx3301-t0:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:dx5401-b0_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:dx5401-b0:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:emg3525-t50b_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:emg3525-t50b:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:emg5523-t50b_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:emg5523-t50b:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:emg5723-t50k_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:emg5723-t50k:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:ep240p_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:ep240p:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:ex5401-b0_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:ex5401-b0:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:ex5501-b0_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:ex5501-b0:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte3301-plus_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte3301-plus:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte5388-m804_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte5388-m804:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte5388-s905_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte5388-s905:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte5398-m904_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte5398-m904:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte7240-m403_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte7240-m403:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte7461-m602_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte7461-m602:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte7480-m804_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte7480-m804:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte7480-s905_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte7480-s905:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte7485-s905_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte7485-s905:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:lte7490-m804_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:lte7490-m804:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:nr5101_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:nr5101:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:nr7101_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:nr7101:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:nr7102_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:nr7102:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:pm7300-t0_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:pm7300-t0:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:pmg5317-t20b_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:pmg5317-t20b:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:pmg5617-t20b2_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:pmg5617-t20b2:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:pmg5617ga_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:pmg5617ga:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:pmg5622ga_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:pmg5622ga:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:vmg3625-t50b_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:vmg3625-t50b:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:vmg3927-t50k_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:vmg3927-t50k:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:vmg8623-t50b_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:vmg8623-t50b:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:vmg8825-t50k_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:zyxel:vmg8825-t50k:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:vmg3625-t50b_firmware:*:*:*:*:central_america:*:*:*" "cpe:2.3:h:zyxel:vmg3625-t50b:-:*:*:*:*:*:*:*" "cpe:2.3:o:zyxel:vmg3625-t50b_firmware:*:*:*:*:emea:*:*:*" "cpe:2.3:h:zyxel:vmg3625-t50b:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-35251","CWE-209" "CWE-209",,,,,"psirt@solarwinds.com" "nvd@nist.gov",5.3 5.3,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:solarwinds:web_help_desk:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-35254","CWE-20" "NVD-CWE-Other",,,,,"psirt@solarwinds.com" "nvd@nist.gov",8.2 8.8,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:solarwinds:webhelpdesk:*:*:*:*:*:*:*:*" "cpe:2.3:a:solarwinds:webhelpdesk:12.7.8:-:*:*:*:*:*:*"
"Modified","CVE-2021-3567","CWE-20" "CWE-787",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:gnome:caribou:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-3575","CWE-787" "CWE-787",,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:uclouvain:openjpeg:*:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*"
"Modified","CVE-2021-3582","CWE-119" "CWE-119",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:N/A:H",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:qemu:qemu:*:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-3589","CWE-306" "CWE-306",,,,,"nvd@nist.gov",8,"HIGH","CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:theforeman:foreman_ansible:*:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:satellite:6.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-3602","CWE-200" "CWE-212",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",1.9,LOW,"AV:L/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:buildah_project:buildah:*:*:*:*:*:*:*:*" "cpe:2.3:a:buildah_project:buildah:*:*:*:*:*:*:*:*" "cpe:2.3:a:buildah_project:buildah:*:*:*:*:*:*:*:*" "cpe:2.3:a:buildah_project:buildah:*:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_ibm_z_systems:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_power_little_endian:8.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-3609","CWE-362" "CWE-362",,,,,"nvd@nist.gov",7,"HIGH","CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.9,MEDIUM,"AV:L/AC:M/Au:N/C:C/I:C/A:C","cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:3scale_api_management:2.0:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:build_of_quarkus:1.0:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:codeready_linux_builder_eus:8.1:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:codeready_linux_builder_eus:8.2:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:codeready_linux_builder_eus:8.4:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:codeready_linux_builder_for_power_little_endian_eus:8.1:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:codeready_linux_builder_for_power_little_endian_eus:8.2:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:codeready_linux_builder_for_power_little_endian_eus:8.4:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:4.6:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:4.7:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:4.8:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:virtualization:4.0:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:virtualization_host:4.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_aus:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_eus:8.1:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_eus:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_eus:8.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_ibm_z_systems_eus:8.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_ibm_z_systems_eus_s390x:8.1:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_power_little_endian_eus:8.1:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_power_little_endian_eus:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_power_little_endian_eus:8.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_real_time:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_real_time_for_nfv:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_real_time_for_nfv_tus:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_real_time_for_nfv_tus:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_real_time_tus:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_for_real_time_tus:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_aus:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_aus:8.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_for_power_little_endian_update_services_for_sap_solutions:8.1:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_for_power_little_endian_update_services_for_sap_solutions:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_for_power_little_endian_update_services_for_sap_solutions:8.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_tus:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_tus:8.4:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_update_services_for_sap_solutions:8.1:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_update_services_for_sap_solutions:8.2:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_update_services_for_sap_solutions:8.4:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h300s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h300s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h500s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h500s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h700s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h700s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h300e_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h300e:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h500e_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h500e:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h700e_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h700e:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h410s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h410s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h410c_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h410c:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h610c_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h610c:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h610s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h610s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h615c_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h615c:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-36100","CWE-78",,,,,"security@otrs.com" "nvd@nist.gov",6.4 8.8,"MEDIUM" "HIGH","CVSS:3.1/AV:N/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:a:otrs:otrs:*:*:*:*:*:*:*:*" "cpe:2.3:a:otrs:otrs:*:*:*:*:*:*:*:*" "cpe:2.3:a:otrs:otrs:*:*:*:*:*:*:*:*" "cpe:2.3:a:otrs:otrs_itsm:*:*:*:*:*:*:*:*" "cpe:2.3:a:otrs:otrs_itsm:*:*:*:*:*:*:*:*" "cpe:2.3:a:otrs:otrs_storm:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-36166","CWE-330",,,,,"psirt@fortinet.com" "nvd@nist.gov",9.8 9.8,"CRITICAL" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:fortinet:fortimail:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortimail:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortimail:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortimail:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortimail:7.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-36171","CWE-338",,,,,"psirt@fortinet.com" "nvd@nist.gov",8.1 8.1,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*"
